age,gender,weight_kg,bmi,calories,protein_ratio,water_liters,workout_minutes,workout_days,workout_intensity,fitness_score
56,Female,78.6,24.1,2107.0,0.18,2.5,52,0,1,63.9
46,Male,71.5,19.6,2456.0,0.24,3.8,28,2,1,73.9
32,Female,70.9,27.9,2658.0,0.33,3.8,47,1,3,89.4
60,Female,59.5,29.8,2533.0,0.15,4.0,85,2,3,79.1
25,Female,67.7,23.1,2018.0,0.14,2.9,18,3,2,76.4
38,Male,79.7,29.5,2361.0,0.18,2.4,53,2,2,74.5
56,Female,62.2,29.5,2054.0,0.39,2.1,77,1,1,80.1
36,Male,69.7,24.3,1648.0,0.32,1.6,86,4,2,90.9
40,Female,60.6,30.9,2177.0,0.11,3.3,1,2,2,55.3
28,Female,58.2,21.5,2578.0,0.22,2.1,31,3,3,90.1
28,Male,69.2,16.2,2100.0,0.18,3.0,61,6,2,100.0
41,Female,71.7,17.8,2450.0,0.29,3.8,6,1,2,64.2
53,Male,89.9,21.3,2000.0,0.24,3.9,67,0,2,96.8
57,Male,65.4,26.1,2407.0,0.39,1.5,86,4,2,88.6
41,Female,69.5,19.4,2127.0,0.17,2.3,83,6,3,100.0
20,Female,57.5,21.3,2657.0,0.28,3.6,21,5,2,92.0
39,Female,76.1,19.0,2106.0,0.31,2.8,28,2,1,70.7
19,Female,74.0,21.4,2037.0,0.35,3.5,2,1,1,88.1
41,Male,84.9,29.4,2641.0,0.22,3.6,21,3,1,72.1
61,Male,81.1,25.4,2027.0,0.31,2.6,83,3,1,88.6
47,Female,73.5,21.7,2264.0,0.19,2.4,88,1,1,67.0
55,Male,65.3,28.9,2029.0,0.23,2.6,52,6,2,81.9
19,Male,72.0,24.1,2477.0,0.37,3.1,56,3,1,98.8
38,Female,68.9,24.5,2589.0,0.38,2.4,9,5,3,79.4
50,Male,79.5,28.6,1998.0,0.32,3.4,39,6,2,92.3
29,Male,78.3,22.6,2364.0,0.21,3.8,19,4,3,100.0
39,Female,67.0,27.7,2392.0,0.35,2.2,86,0,2,77.4
61,Male,55.4,27.4,2238.0,0.11,3.9,10,6,3,81.5
42,Female,83.3,23.4,2658.0,0.13,3.1,7,3,2,67.3
44,Male,75.8,18.4,2655.0,0.3,3.7,35,3,1,74.9
59,Female,66.8,24.1,1944.0,0.19,1.8,24,0,2,56.0
45,Male,75.4,28.5,2563.0,0.39,2.1,38,4,1,70.9
33,Male,70.7,27.3,2352.0,0.23,2.3,61,4,2,87.9
32,Female,83.2,30.8,2273.0,0.23,2.3,86,4,2,82.3
64,Female,50.7,22.0,2130.0,0.3,1.9,20,5,2,77.9
61,Female,66.0,27.1,1755.0,0.33,3.7,18,6,3,83.4
20,Female,86.0,20.0,2285.0,0.24,2.5,24,3,3,93.9
54,Male,75.6,24.8,2292.0,0.16,3.9,86,6,2,100.0
24,Male,87.7,28.4,2798.0,0.33,3.0,82,3,3,93.4
38,Male,57.8,27.6,1998.0,0.2,1.8,4,4,1,60.5
26,Female,80.7,24.4,1718.0,0.15,2.9,82,3,1,82.3
56,Male,80.1,22.9,1846.0,0.29,4.0,11,6,2,88.3
35,Male,53.2,20.0,2677.0,0.13,2.9,24,2,2,70.1
21,Female,67.0,23.1,2066.0,0.39,1.5,4,6,2,87.1
42,Female,68.9,18.8,2609.0,0.29,3.8,75,3,3,95.7
31,Male,53.8,22.6,2202.0,0.4,2.1,26,5,1,97.8
26,Female,67.3,16.8,1908.0,0.2,3.2,3,4,2,70.3
43,Male,78.7,18.7,2800.0,0.39,2.8,82,6,1,95.8
19,Male,66.1,27.4,2595.0,0.14,2.3,44,1,2,83.9
37,Female,72.4,27.0,2146.0,0.11,2.2,46,4,1,69.8
45,Male,72.5,22.8,2499.0,0.11,3.8,87,1,2,88.6
64,Female,69.9,24.3,2237.0,0.24,3.8,27,3,1,74.5
24,Female,62.9,24.8,2331.0,0.12,2.8,34,3,3,95.4
61,Male,76.6,25.8,2729.0,0.25,2.1,15,5,1,76.2
25,Male,54.1,25.4,1744.0,0.2,1.8,11,1,2,66.1
64,Male,70.1,18.7,2092.0,0.2,1.9,79,6,3,95.8
52,Female,83.9,14.2,2209.0,0.29,2.8,74,4,2,84.9
31,Male,65.5,19.9,2300.0,0.15,2.3,42,0,2,79.5
34,Female,62.7,23.4,1825.0,0.33,1.6,27,6,3,94.5
53,Female,77.3,27.8,2475.0,0.27,2.6,86,0,2,68.2
57,Male,71.6,24.9,1854.0,0.37,3.4,80,4,1,85.7
21,Female,77.5,26.1,1825.0,0.21,3.7,18,3,2,79.5
19,Male,70.4,20.4,2125.0,0.39,3.0,74,1,2,99.7
